WebSocket LTT (ms): 1753243464526 | Human: 09:34:24.526 | LTP: 394.25 | Latency: 1281ms | Socket Timing :09:34:24.526 | Current Timing :09:34:25.807
WebSocket LTT (ms): 1753243464882 | Human: 09:34:24.882 | LTP: 444.0 | Latency: 925ms | Socket Timing :09:34:24.882 | Current Timing :09:34:25.807
WebSocket LTT (ms): 1753243465248 | Human: 09:34:25.248 | LTP: 297.1 | Latency: 559ms | Socket Timing :09:34:25.248 | Current Timing :09:34:25.807
WebSocket LTT (ms): 1753243465370 | Human: 09:34:25.370 | LTP: 444.0 | Latency: 468ms | Socket Timing :09:34:25.370 | Current Timing :09:34:25.838
WebSocket LTT (ms): 1753243465621 | Human: 09:34:25.621 | LTP: 444.0 | Latency: 829ms | Socket Timing :09:34:25.621 | Current Timing :09:34:26.450
WebSocket LTT (ms): 1753243466194 | Human: 09:34:26.194 | LTP: 296.6 | Latency: 258ms | Socket Timing :09:34:26.194 | Current Timing :09:34:26.452
WebSocket LTT (ms): 1753243466226 | Human: 09:34:26.226 | LTP: 340.15 | Latency: 374ms | Socket Timing :09:34:26.226 | Current Timing :09:34:26.600
WebSocket LTT (ms): 1753243466280 | Human: 09:34:26.280 | LTP: 393.8 | Latency: 322ms | Socket Timing :09:34:26.280 | Current Timing :09:34:26.602
WebSocket LTT (ms): 1753243466559 | Human: 09:34:26.559 | LTP: 393.2 | Latency: 556ms | Socket Timing :09:34:26.559 | Current Timing :09:34:27.115
WebSocket LTT (ms): 1753243466348 | Human: 09:34:26.348 | LTP: 443.55 | Latency: 771ms | Socket Timing :09:34:26.348 | Current Timing :09:34:27.119
WebSocket LTT (ms): 1753243466675 | Human: 09:34:26.675 | LTP: 296.55 | Latency: 446ms | Socket Timing :09:34:26.675 | Current Timing :09:34:27.121
WebSocket LTT (ms): 1753243466348 | Human: 09:34:26.348 | LTP: 443.55 | Latency: 1163ms | Socket Timing :09:34:26.348 | Current Timing :09:34:27.511
WebSocket LTT (ms): 1753243467133 | Human: 09:34:27.133 | LTP: 295.95 | Latency: 380ms | Socket Timing :09:34:27.133 | Current Timing :09:34:27.513
WebSocket LTT (ms): 1753243467339 | Human: 09:34:27.339 | LTP: 340.55 | Latency: 310ms | Socket Timing :09:34:27.339 | Current Timing :09:34:27.649
WebSocket LTT (ms): 1753243467150 | Human: 09:34:27.150 | LTP: 393.2 | Latency: 501ms | Socket Timing :09:34:27.150 | Current Timing :09:34:27.651
WebSocket LTT (ms): 1753243467719 | Human: 09:34:27.719 | LTP: 341.25 | Latency: 383ms | Socket Timing :09:34:27.719 | Current Timing :09:34:28.102
WebSocket LTT (ms): 1753243467150 | Human: 09:34:27.150 | LTP: 393.2 | Latency: 952ms | Socket Timing :09:34:27.150 | Current Timing :09:34:28.102
WebSocket LTT (ms): 1753243467824 | Human: 09:34:27.824 | LTP: 445.7 | Latency: 592ms | Socket Timing :09:34:27.824 | Current Timing :09:34:28.416
WebSocket LTT (ms): 1753243467575 | Human: 09:34:27.575 | LTP: 295.55 | Latency: 843ms | Socket Timing :09:34:27.575 | Current Timing :09:34:28.418
WebSocket LTT (ms): 1753243468287 | Human: 09:34:28.287 | LTP: 341.95 | Latency: 262ms | Socket Timing :09:34:28.287 | Current Timing :09:34:28.549
WebSocket LTT (ms): 1753243467915 | Human: 09:34:27.915 | LTP: 392.9 | Latency: 636ms | Socket Timing :09:34:27.915 | Current Timing :09:34:28.551
WebSocket LTT (ms): 1753243468104 | Human: 09:34:28.104 | LTP: 445.0 | Latency: 448ms | Socket Timing :09:34:28.104 | Current Timing :09:34:28.552
WebSocket LTT (ms): 1753243468113 | Human: 09:34:28.113 | LTP: 296.05 | Latency: 440ms | Socket Timing :09:34:28.113 | Current Timing :09:34:28.553
WebSocket LTT (ms): 1753243468877 | Human: 09:34:28.877 | LTP: 392.85 | Latency: 273ms | Socket Timing :09:34:28.877 | Current Timing :09:34:29.150
WebSocket LTT (ms): 1753243468925 | Human: 09:34:28.925 | LTP: 340.6 | Latency: 374ms | Socket Timing :09:34:28.925 | Current Timing :09:34:29.299
WebSocket LTT (ms): 1753243468826 | Human: 09:34:28.826 | LTP: 445.0 | Latency: 880ms | Socket Timing :09:34:28.826 | Current Timing :09:34:29.706
WebSocket LTT (ms): 1753243468879 | Human: 09:34:28.879 | LTP: 296.7 | Latency: 855ms | Socket Timing :09:34:28.879 | Current Timing :09:34:29.734
WebSocket LTT (ms): 1753243469367 | Human: 09:34:29.367 | LTP: 341.8 | Latency: 372ms | Socket Timing :09:34:29.367 | Current Timing :09:34:29.739
WebSocket LTT (ms): 1753243468877 | Human: 09:34:28.877 | LTP: 392.85 | Latency: 864ms | Socket Timing :09:34:28.877 | Current Timing :09:34:29.741
WebSocket LTT (ms): 1753243470035 | Human: 09:34:30.035 | LTP: 339.6 | Latency: 319ms | Socket Timing :09:34:30.035 | Current Timing :09:34:30.354
WebSocket LTT (ms): 1753243469581 | Human: 09:34:29.581 | LTP: 393.3 | Latency: 775ms | Socket Timing :09:34:29.581 | Current Timing :09:34:30.356
WebSocket LTT (ms): 1753243469777 | Human: 09:34:29.777 | LTP: 443.7 | Latency: 581ms | Socket Timing :09:34:29.777 | Current Timing :09:34:30.358
WebSocket LTT (ms): 1753243469926 | Human: 09:34:29.926 | LTP: 297.15 | Latency: 434ms | Socket Timing :09:34:29.926 | Current Timing :09:34:30.360
WebSocket LTT (ms): 1753243470035 | Human: 09:34:30.035 | LTP: 339.6 | Latency: 466ms | Socket Timing :09:34:30.035 | Current Timing :09:34:30.501
