WebSocket LTT (ms): 1753242313516 | Human: 09:15:13.516 | LTP: 315.75 | Latency: 407ms | Socket Timing :09:15:13.516 | Current Timing :09:15:13.923
WebSocket LTT (ms): 1753242313607 | Human: 09:15:13.607 | LTP: 320.9 | Latency: 347ms | Socket Timing :09:15:13.607 | Current Timing :09:15:13.954
WebSocket LTT (ms): 1753242313722 | Human: 09:15:13.722 | LTP: 420.6 | Latency: 232ms | Socket Timing :09:15:13.722 | Current Timing :09:15:13.954
WebSocket LTT (ms): 1753242313870 | Human: 09:15:13.870 | LTP: 320.3 | Latency: 241ms | Socket Timing :09:15:13.870 | Current Timing :09:15:14.111
WebSocket LTT (ms): 1753242314007 | Human: 09:15:14.007 | LTP: 321.3 | Latency: 245ms | Socket Timing :09:15:14.007 | Current Timing :09:15:14.252
WebSocket LTT (ms): 1753242313945 | Human: 09:15:13.945 | LTP: 419.0 | Latency: 307ms | Socket Timing :09:15:13.945 | Current Timing :09:15:14.252
WebSocket LTT (ms): 1753242314040 | Human: 09:15:14.040 | LTP: 422.7 | Latency: 228ms | Socket Timing :09:15:14.040 | Current Timing :09:15:14.268
WebSocket LTT (ms): 1753242314516 | Human: 09:15:14.516 | LTP: 424.8 | Latency: 346ms | Socket Timing :09:15:14.516 | Current Timing :09:15:14.862
WebSocket LTT (ms): 1753242314573 | Human: 09:15:14.573 | LTP: 320.85 | Latency: 289ms | Socket Timing :09:15:14.573 | Current Timing :09:15:14.862
WebSocket LTT (ms): 1753242314511 | Human: 09:15:14.511 | LTP: 320.55 | Latency: 672ms | Socket Timing :09:15:14.511 | Current Timing :09:15:15.183
WebSocket LTT (ms): 1753242314704 | Human: 09:15:14.704 | LTP: 419.95 | Latency: 480ms | Socket Timing :09:15:14.704 | Current Timing :09:15:15.184
WebSocket LTT (ms): 1753242315010 | Human: 09:15:15.010 | LTP: 418.05 | Latency: 309ms | Socket Timing :09:15:15.010 | Current Timing :09:15:15.319
WebSocket LTT (ms): 1753242314948 | Human: 09:15:14.948 | LTP: 419.85 | Latency: 372ms | Socket Timing :09:15:14.948 | Current Timing :09:15:15.320
WebSocket LTT (ms): 1753242315085 | Human: 09:15:15.085 | LTP: 319.2 | Latency: 236ms | Socket Timing :09:15:15.085 | Current Timing :09:15:15.321
WebSocket LTT (ms): 1753242314846 | Human: 09:15:14.846 | LTP: 318.15 | Latency: 606ms | Socket Timing :09:15:14.846 | Current Timing :09:15:15.452
WebSocket LTT (ms): 1753242315525 | Human: 09:15:15.525 | LTP: 420.9 | Latency: 238ms | Socket Timing :09:15:15.525 | Current Timing :09:15:15.763
WebSocket LTT (ms): 1753242315518 | Human: 09:15:15.518 | LTP: 319.0 | Latency: 247ms | Socket Timing :09:15:15.518 | Current Timing :09:15:15.765
WebSocket LTT (ms): 1753242315687 | Human: 09:15:15.687 | LTP: 322.8 | Latency: 228ms | Socket Timing :09:15:15.687 | Current Timing :09:15:15.915
WebSocket LTT (ms): 1753242315684 | Human: 09:15:15.684 | LTP: 415.5 | Latency: 233ms | Socket Timing :09:15:15.684 | Current Timing :09:15:15.917
WebSocket LTT (ms): 1753242316154 | Human: 09:15:16.154 | LTP: 417.9 | Latency: 371ms | Socket Timing :09:15:16.154 | Current Timing :09:15:16.525
WebSocket LTT (ms): 1753242316258 | Human: 09:15:16.258 | LTP: 425.25 | Latency: 270ms | Socket Timing :09:15:16.258 | Current Timing :09:15:16.528
